"Address","Content","Size (bytes)","IMG Inlinks","Indexability","Indexability Status"
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/gazette_crop/public/troy-derrick.jpg?sc=d2f7af57bc5a337e4d8272326f535848","image/jpeg","66830","1","Indexable",""
"https://www.rcmp-grc.gc.ca/poc-pdc/images/money-argent-roll-liasse.jpg","image/jpeg","59821","1","Indexable",""
"https://www.rcmp-grc.gc.ca/wam/media/3199/small/b6996d145dddab247f6191dbd905deeb.jpg","image/jpeg","0","1","Indexable",""
"https://www.rcmp-grc.gc.ca/wam/media/259/large/e33e64fa048949fc9d4721790aaf71f5.gif","image/gif","19266","1","Indexable",""
"https://www.rcmp-grc.gc.ca/wam/media/1975/medium/d1e0eafbf23c5a3f3f432e69bca3d10c.jpg","image/jpeg","0","1","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/profile_additional/public/vermette3a.jpg","image/jpeg","9665","2","Indexable",""
"https://www.rcmp-grc.gc.ca/wam/media/3357/medium/2b9a1033695af3316b684f6f461bc29c.jpg","image/jpeg","0","1","Indexable",""
"https://www.rcmp-grc.gc.ca/ab/images/tphp.gif","image/gif","65","12","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/gazette_crop/public/active_shooter_6.jpg?sc=81fed1089b06bfe25b5e950d1ce760fd","image/jpeg","47675","1","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/gazette_crop/public/shield.jpg?sc=2dfd4bcbd9ebbaea493540b14ea0db09","image/jpeg","64441","1","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/gazette_crop/public/projects.jpg?sc=9d720927f978645444bcf1af322d4afd","image/jpeg","66304","1","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/gazette_crop/public/ballistics.jpg?sc=5d0ed79aff13b10717aa2a09a058c3c3","image/jpeg","41535","1","Indexable",""
"https://www.rcmp-grc.gc.ca/sites/default/files/styles/gazette_crop/public/international_SAAT.jpg?sc=550604c9eafff886850a4e0e95e7ae52","image/jpeg","59697","1","Indexable",""
